,0
679,3509
680,3511
681,3514
682,3520
683,3526
684,3533
685,3540
686,3541
687,3542
688,3544
689,3547
690,3548
691,3559
692,3571
693,3578
694,3581
695,3586
696,3588
697,3589
698,3592
699,3594
700,3596
701,3598
702,3606
703,3607
704,3614
705,3619
706,3621
707,3624
