AuthorID,Name,Aliases,Citation Count,Field
1690216,F. Dondelinger,"['F. Dondelinger', 'Frank Dondelinger']",3809,['Psychology']
1581151122,D. Adak,"['D. Adak', 'D. El Adak', 'Dounia El Adak']",12,['Medicine']
1388580232,Craig A. Knoblock,,15,None
2119805089,Béchir Ouédraogo,"['Béchir Ouedraogo', 'Béchir Wendemi Ouédraogo']",448,['Medicine']
52171292,Kaile Gong,,72,['Sociology']
1700666,J. Zahorjan,"['J Zahorjan', 'J. Zahorjan', 'John Zahorjan']",10976,['Engineering']
1411077850,Winifred Agnew-Pauley,['Winifred Ella Agnew-pauley'],68,['Sociology']
6050677,S. New,"['Stephen J. New', 'S New', 'Steve New', 'S. New', 'Steve J. New', 'Steven New', 'Stephen John New', 'Stephen New', 'S. J. New']",3735,['Sociology']
13891964,T. Downing,"['T Downing', 'Thomas Downing', 'Thomas E. Downing', 'T. E Downing', 'T. Downing', 'T E Downing', 'Thomas E Downing', 'Tom Downing', 'T. E. Downing']",13658,['Sociology']
1693265,Anna R. Karlin,"['A R Karlin', 'A. R. Karlin', 'Anna Karlin']",11051,"['Mathematics', 'Engineering', 'Computer Science']"
47322157,Judee Humburg,,291,['Computer Science']
47001358,D. Forbes,"['D Forbes', 'Donald Lawrence Forbes', 'D. Forbes', 'D. L. Forbes', 'D L Forbes', 'Donald L. Forbes', 'Donald Forbes', 'D.l. Forbes', 'Don Forbes']",6613,"['Physics', 'Computer Science']"
80055162,A. Aysan,"['Ahmet F. Aysan', 'A. Aysan', 'Ahmet Faruk Aysan', 'Ahmet Aysan', 'Ahmet. Aysan']",1613,['Political Science']
2037384,E. Fontenla,"['E Fontenla', 'E. Fontenla', 'Ernesto Fontenla']",519,['Medicine']
112859096,A. Moreno Zamora,"['A Moreno Zamora', 'A.m. Moreno Zamora', 'Ana Moreno Zamora']",171,['Medicine']
145274914,Jonathan Manning,['Jonathan Ryan Manning'],116,['Sociology']
1398415704,J. Morales-Ramirez,"['Javier O Morales-ramirez', 'Javier Osvaldo Morales-ramírez', 'Javier Morales-ramirez', 'Javier Morales‐ramirez', 'Javier Morales-ramírez', 'Javier O Morales‐ramirez', 'J. Morales-ramirez', 'Javier O. Morales-ramirez', 'J Morales-ramirez']",3808,['Medicine']
31080741,S. I. Hussain Shah,"['S. Imran Hussain Shah', 'Syed Imran Hussain Shah']",35,['Physics']
49953381,D. Landy,"['D Landy', 'D. J. Landy', 'David Landy']",1926,['Sociology']
5632949,F. Boccara,"['F Boccara', 'F. Boccara', 'Franck Boccara']",4836,['Philosophy']
2149255807,Paul Burton,,6,['Medicine']
