Zhongyang He
Georgios Anagnostopoulos
Christopher Torres-Lugo
Christo Wilson
Ylli Prifti
Martijn Schoonvelde
Hywel Williams
David Rand
Jessica Hullman
Wolf Schünemann
Thomas Baudin
Aparna Ananthasubramaniam
Bao Truong
Nitin Agarwal
Jeffery Schank
Sean Fischer
Anne Stupinski
Giovanni Tonutti
Nat Gyenes
Xiangfei Yuan
Xin Jin
Daniel Acuna
Sylvan Zheng
Yingying Chen
Dominika Czerniawska
Benjamin Ooghe-Tabanou
Yixue Wang
Mark Levine
Shubhanshu Mishra
Damian Trilling
Mohsen Bahrami
Jessica Jacobson
Zoltán Kmetty
Bianca Beersma
Daniela Schmid
Henrik Olsson
Roel Faber
Juan Losada
Manoel Ribeiro
Esteban Moro
Flora Samu
Daniel B. Larremore
Ju-sung Lee
Feifan Liu
R. Rio-chanona
Laiyang Ke
Fragkiskos Malliaros
Jayesh Choudhari
Scott Althaus
Shrikanth Narayanan
Guillaume Plique
Tung-Duong Mai
Hocine Cherifi
Russell Wang
Benjamin Vandermarliere
Alberto Bracci
Nicholas Johnson
Saptarshi Ghosh
Shivangi Prasad
Krish Perumal
Tiago Santos
Muhammad Bilal Zafar
Zhishen Huang
Seungeon Lee
Milan Janosov
Sang Yup Lee
Katharina Tittel
Gabriel Murray
Kayla Haye
Ramon Gras
Presenters
Bruno Lepri
John Scott
Rediet Abebe
Christoph Kern
Steve Chang
Tanujit Chakraborty
Mor Naaman
Mahmoudreza Babaei
Caspar Chorus
Kevin Brito
Manlio De Domenico
Brooke M. Bell
Renita Murimi
Tanya Berger-wolf
Taichi Murayama
Diego Fregolent Mendes de Oliveira
Ming Yin
James Evans
Carolina Mattsson
Milo Trujillo
Drew Dimmery
Hyeonho Song
Stefano Balietti
Micah Epstein
Benjamin Meindl
Kanyao Han
Stephanie Sy
Amit Sheth
Binglu Wang
Axel Bruns
Liat Ayalon
Alejandro Andrade
Markus Strohmaier
Mitsuhiro Odaka
Matej Novak
Shuo Zhang
Anna Cigarini
Hyun Jo
Zac Ioannidis
Steffi Kohl
Alexis Perrier
Benjamin Jones
Koen Schoors
Andreas Diekmann
Swati Goel
Park Sinchaisri
Denis Bulygin
John Bollenbacher
Luca Verginer
Ulf Liebe
Adam Berinsky
Francesco Rampazzo
Chenghua Lin
George Berry
Kaustav Basu
Tiago Teixeira Santos
Tina Comes
Ryota Kobayashi
Simon Walk
Jianjun Sun
Wouter Van Atteveldt
Neave O’Clery
Katerina Guba
Annie Haakenstad
Ho-chun Chang
Timoté Vaucher
Maxwell Aliapoulios
András Vörös
Azadeh Nematzadeh
Yanbin Cao
Rishabh Kaushal
Zhang Yundi
Ziv Epstein
Junichi Ozaki
Steve Guo
Charles Martin
Yuhao Du
Chris Bail
Sharon Goldwater
Ulrike Hahn
Wim Bernasco
Maksim Tsvetovat
Jeanie Lim
Ifat Emi
Charalampos Saitis
Dimosthenis Stefanidis
Irene Pasquetto
Dhanya Sridhar
Felix Gaisbauer
Stephany Rajeh
Luis Luque
Shubham Annadate
Aniket Alam
Derek Weber
Sung-gook Choi
Florian Lemmerich
William Cai
Nir Grinberg
Fan Yang
Mohammad Amin
Igor Krawczuk
Victor Veitch
Motahhare Eslami
Yunkang Yang
Isabel Valera
Sophie Lohmann
Dan Frankowski
Abhijnan Chakraborty
Rachel Winter
Filippo Menczer
Ramona Roller
Mirko Reul
Tatiana Lau
Shane Johnson
Diego Saez-Trumper
Ali Aghelmaleki
Marco Schmitt
Yasuko Kawahata
Peter Ejbye-Ernst
Sang Lee
Valeria Secchini
Didier Sornette
Miriam Hurtado Bodell
Karrie Karahalios
Tom Nichols
Suat Özdemir
Xin Sui
Victor Chen
Andrew King
Zhongkai Sun
George Lifchits
Juliano Cavalli
Valentin Hartmann
Thomas Grund
Osbert Bastani
Anna Croley
A. Gül Gökay Emel
Kunihiko Kaneko
Ferda Ofli
Hossein Rahmana
Oral Okan
Esteban Egido
Khyati Mahajan
Jia Mengzhen
Abigail Jacobs
Takashi Shimada
Sharad Goel
Shankar Kumar
Dhavan Shah
Philipp Kling
Daniel Putman
Diego Garlaschelli
Yi Bu
De Meo
Martyn Harris
Daniela Paolotti
David Holtz
Rinat Sergeev
Massimiliano Luca
Leo Ferres
Gianluca Carnabuci
Elisabeth Lex
Nisha Baral
Thomas Robinson
Susumu Nagayama
Ching Jin
Eni Mustafaraj
Michael Arnold
Rezvaneh Rezapour
Katherine Haenschen
Roshan Santhosh
Chenhao Tan
Guy Laban
Laszlo Barabasi
Saranzaya Magsarjav
Eszter Katona
Jose Halloy
Ira Winder
Mario Gutierrez-roig
Parizad Bahardoost
Jan Van Bavel
Fariba Karimi
Panos Ipeirotis
Burcin Bozkaya
Shamsi Iqbal
Igor de Almeida
Deblina Mukherjee
Leonie Neuhäuser
Federico Battiston
Yulin Yu
Ravi Bhavnani
Navid Madani
Bilel Benbouzid
Denis Bonnay
Soyun Ahn
Scott Hale
Kehan Li
Lili Miao
Jian Zhu
Renáta Németh
Jacobo Abitbol
Hasan Boz
Emre Calisir
Mirta Galesic
Micheal Szell
Renzhe Yu
Haye Hazenberg
James Moffet
Kuansan Wang
Yuchen Liu
Silke Adam
Emmanuel Olamijuwon
Daniel O'Brien
Punyajoy Saha
Anirban Dasgupta
Leping Wang
Kazuhiro Ueda
Bianca Kang
Risto Conte Keivabu
Junjie Wu
Nicolas Velazquez-hernandez
Sam Zhang
Alicia Cork
Pradip Swarnakar
Anne Cornelia Kroon
Jenna Sherman
Francesco Pierri
Jose Carlock
Maneet Singh
Michele Coscia
Kristina Gligoric
Matthewhieu Nadini
Frank Takes
Esther Denecke
Mary Czerwinski
Emre Kiciman
Martin Novák
Katie Roehrick
Ryan Gallagheer
Yuval Benjamini
Jamell Dacon
Parrish Bergquist
Misha Teplitskiy
Lena Frischlich
Riccardo Gallotti
Antske Fokkens
Chathura Jayalath
Neda Paryab
Igor Zakhlebin
Garcia Bulle
Tanzhou Liu
Shoko Wakamiya
Kinga Makovi
Gabriella Kazai
Hendrik Nunner
Takayuki Mizuno
Patrick Wolf
Zahra Sheikhbahaee
Fosca Gianotti
Jie Zhuang
Yukie Sano
Jan Kubik
Anna Di Natale
Caterina Froio
Max Schindler
Sam Fankhauser
Michael S. Bernstein
Marcel Wittich
Issa Luna-pla
Janina Beckmann
Juan Chen
Zachary Neal
Paulo Almeida
Julia Minson
Mark Musen
Stefan Mccabe
Xi Chen
Elise Jing
Priyam Bansal
Hiroyasu Matsushima
Gunter Maris
Cody Buntain
Anastasia Menshikova
Lakshmi Subramanian
Yulia Dementeva
Måns Magnusson
Weisi Guo
Abiram Gangavaram
Kieran Mepham
Eric Leclercq
Armin Mertens
Diego Amancio
Mohamed Musbah
Alina Vogelgesang
Martin Hilbert
Henry Dambanemuya
Rossano Schifanella
Mengjie Cheng
Scott Pauls
Tamara Does
Wojtek Przepiorka
Joshua Plotkin
Marc Rauckhorst
Kai Larsen
Meysam Alizadeh
Jessica Nordell
Tom Griffiths
Victoria Medvec
Emilio Ferrara
Emese Domahidi
Sudhanshu Mishra
Guillaume Cabanac
Michael Mauskapf
Leila Zia
Jiaxin Pei
Alberto Stefanelli
Jesse Shore
Nabeel Gillani
Clara Christner
Krisztián Boros
Diogo Pacheco
Julia Mendelsohn
Deok-Sun Lee
Sophie Cho
Avidit Acharya
Kaicheng Yang
Yuanmo He
Kiyoshi Kanazawa
Katherine A. Cronin
Onyi Lam
Bari Bendell
Dániel Kondor
Akira Ishii
Konstantin Pogorelov
Dorian Tsolak
Sean Rintel
Jason Nurse
Johannes Sorger
Maria Wolters
Mounia Lalmas
Sergey Gavrilets
Alfredo Morales
Ekaterina Marchenko
Jennifer Stromer-galley
Gulcan Petricli
Amirarsalan Rajabi
Sreeja Nair
Pacheco Diogo
Atte Oksanen
Irma Varela-Lasheras
Leonardo Ferreira
S R
Joselina Davyt
Lucia Falzon
Andras Voros
Alexander Stewart
Abeer Aldayel
Kenji Itao
Adam Richards
James Deitrick
Luping Wang
Bas Hofstra
Prakash Manandhar
Doug Beeferman
Peter Organisciak
Rene Kizilcec
Nicolo Cavalli
Jessica Santana
Simon Hegelich
Sourav Medya
Caitlin Gray
Alessandro Flammini
Jean-michel Dalle
Foster Provost
Leonardo Nicoletti
Luis Amaral
Yuan Yuan
Kongmeng Liew
Wan-ying Chang
Andreas Spitz
Zach Fulker
Stephanie Greenberg
Andrew Ledbetter
Ana Brito
Marcin Waniek
Luke Archer
Lizhen Liang
Jonas Stein
Matthew R. Deverna
Frederico Francisco
Stefano Carattini
Guo Xiaolei
Philip Howard
Miriam Koschate
Sho Izumo
Sid Ravinutala
Apratim Mishra
Laura Bringmann
Laurent Cordonier
Kimmo Kaski
Marco Valtorta
Margherita Ricotti
Maninder Kalra
Munmun Choudhury
Jean-francois Bonnefon
Munther Dahleh
Woo-Sung Jung
Stefan Wojcik
Jessica Flack
Alexander Waagen
Sergio Nasarre-Aznar
Cristian Candia
Veronika Vincze
Nathante Teblunthuis
Rainer Rilke
Seokyoung Min
Penny Mealy
Takaaki Ohnishi
Nicholas LaBerge
Rory Smead
Mikolaj Biesaga
Andreas Witt
Kami Vaniea
Matias Travizano
Aamena Alshamsi
Maayan Levinson
Jisun An
Aurelie Nardy
David Rothschild
Morteza Dehghani
Zhuangyuan Fan
Francesco Valle
Brian Aronson
Dhruv Sapra
Christopher Quarles
Wang Xinyue
Hartmut Wessler
Kyriaki Kalimeri
Mariko Ito
Thomas Delemotte
Allissa Richardson
Ioanna Miliou
Edwin Jonge
Linda Steg
Albert Kao
Michaela Schippers
Jiangmeng Liu
Emma Remy
Laila Wahedi
Egemen Sert
Hans Gersbach
Christos Nicolaides,Luis Cueto-Felgueroso
Ho-Chun Herbert Chang
Joanna Sterling
Alicia Eads
Irina Vartanova
Darren Gergle
John Lang
Ivan Smirnov
Chrysan Angela Piarso
Avelie Stuart
Christian Strippel
Tiffany Lu
Jeffrey Quinn
Brent Hecht
Isaac Johnson
Shen Yan
George Pallis
Ovidia Stanoi
Simon Dedeo
Cesar Hidalgo
Georg-christoph Haas
Emanuele Arielli
János Kertész
Jeremy Ward
Emily Lake
Lydia Stone
Pursey Heugens
Cameron Raymond
Marco Gramaglia
Yilin Huang
Ian Gray
Corey Lofdahl
Stefan Thurner
Nan Zhang
Giuseppe Joe Labiancaba
Taha Yasseri
Vsevolod Suschevskiy
Aaron Schein
Qinghua Yang
Carly Knight
Alexandre Bovet
Hendrik Schawe
Nicolas Velasquez
Fujio Toriumi
Johannes Wachs
Rebekah Overdorf
Zoya Khan
Emilio Zagheni
Melanie Sage
Gautam Kishore Shahi
Javier Alvarez-Galvez
Jin Yap
Van Rooy
Wortman Vaughan
Ksenia Mukhina
Cor Veenman
Nick Jones
Chico Camargo
David Blei
